,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Destroyer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Underlord,Terrorblade,Phoenix,Oracle,Winter Wyvern,Arc Warden,Monkey King,Dark Willow,Pangolier,Grimstroke,Hoodwink,Void Spirit,Snapfire,Mars,Dawnbreaker,Marci,Primal Beast
Slark,0.01,-0.06,0.0,0.0,-0.01,-0.06,-0.08,-0.12,-0.02,0.07,-0.05,0.08,-0.06,-0.01,0.07,0.04,0.11,0.06,-0.01,0.06,0.01,0.05,0.08,0.07,-0.04,0.05,-0.02,0.06,-0.03,0.08,-0.04,-0.02,-0.03,-0.02,0.03,-0.05,0.03,-0.01,0.12,-0.05,-0.11,-0.03,0.01,-0.05,0.04,-0.03,0.07,0.19,-0.01,-0.03,-0.03,-0.07,-0.02,0.04,0.15,0.04,0.01,0.07,-0.12,0.02,0.17,0.0,0.03,-0.03,0.01,-0.01,-0.14,-0.04,0.0,-0.04,0.02,0.12,-0.05,-0.06,0.02,0.11,-0.09,0.04,0.14,-0.22,0.43,-0.02,-0.02,0.06,0.04,-0.08,-0.08,0.0,-0.08,-0.07,0.07,0.0,-0.02,-0.08,-0.01,-0.04,-0.03,0.06,-0.01,-0.06,0.11,-0.12,0.0,-0.12,0.04,0.07,0.09,0.0,0.02,0.13,0.0,0.11,0.01,0.0,0.02,0.01,0.09,-0.08,-0.02,0.0,0.01,0.03,0.04
Medusa,-0.07,0.0,0.04,0.02,-0.09,0.06,-0.08,-0.08,-0.05,0.03,-0.01,-0.02,-0.01,-0.08,-0.03,-0.02,0.06,-0.14,0.01,-0.03,-0.05,0.01,0.0,0.05,0.0,-0.05,0.02,0.09,0.0,-0.02,-0.02,-0.08,-0.24,-0.01,-0.09,-0.24,0.08,0.0,-0.08,-0.01,0.02,0.02,-0.1,0.02,0.03,-0.02,0.04,0.0,0.03,0.01,0.12,0.0,0.04,-0.03,0.01,-0.04,-0.03,0.05,-0.05,0.0,0.18,0.04,0.01,0.01,0.04,-0.07,0.09,0.07,0.09,-0.01,-0.08,-0.02,-0.08,-0.06,-0.08,0.12,-0.02,-0.02,-0.12,0.04,-0.2,0.08,-0.09,0.08,-0.02,0.02,0.02,0.08,0.03,0.06,0.0,0.02,0.0,-0.07,-0.04,0.07,0.0,-0.06,0.06,0.01,0.08,0.14,0.01,0.1,0.08,-0.01,-0.09,-0.07,0.02,0.24,-0.06,0.1,0.02,-0.07,-0.04,-0.03,0.03,-0.04,0.03,-0.04,0.01,0.05,0.01
Troll Warlord,0.08,-0.19,0.12,-0.04,-0.01,0.02,0.09,0.02,0.08,0.01,-0.05,-0.04,0.01,0.02,-0.2,-0.08,0.03,-0.04,0.0,0.12,-0.05,-0.05,0.0,-0.0,0.12,-0.05,0.1,-0.02,0.14,0.11,-0.26,-0.03,-0.01,0.06,0.06,-0.02,0.09,0.12,-0.16,-0.03,0.07,-0.03,-0.07,0.01,0.07,0.02,0.06,-0.09,0.08,-0.04,-0.02,0.06,0.03,0.2,0.06,0.01,0.08,0.06,0.08,-0.03,0.02,0.02,-0.0,-0.14,0.09,0.02,-0.03,-0.09,0.05,-0.01,-0.11,0.1,-0.12,-0.0,-0.04,0.04,-0.06,-0.2,-0.11,0.04,0.45,-0.01,-0.07,0.03,-0.03,0.01,-0.06,-0.0,0.07,-0.08,-0.09,0.08,0.07,0.0,-0.02,0.02,0.04,-0.27,-0.03,-0.1,0.14,-0.1,-0.03,0.25,0.06,0.12,-0.07,0.1,0.05,-0.03,0.04,0.13,0.09,0.12,-0.0,-0.07,-0.01,-0.02,-0.04,-0.01,0.03,-0.01,-0.04
Centaur Warrunner,0.03,0.02,0.11,0.1,-0.03,-0.07,-0.1,0.12,0.01,0.01,-0.01,0.01,0.1,-0.02,0.0,-0.04,-0.03,-0.04,0.04,0.01,0.02,-0.0,0.0,-0.02,-0.07,0.05,-0.04,-0.12,0.09,-0.04,-0.09,-0.02,0.08,0.06,-0.08,-0.02,-0.01,-0.07,-0.09,-0.05,-0.18,-0.03,0.01,-0.02,0.04,0.02,0.04,-0.08,-0.17,0.08,-0.1,0.06,-0.01,-0.01,0.02,-0.07,-0.11,-0.03,-0.04,-0.02,0.02,-0.01,-0.0,-0.05,0.07,-0.09,0.01,0.06,-0.05,0.04,0.04,0.02,0.12,-0.01,0.07,0.02,0.03,-0.17,-0.2,-0.05,-0.22,-0.01,0.02,0.09,-0.02,0.03,-0.07,0.07,0.01,0.02,-0.06,0.01,0.04,0.02,0.0,-0.01,0.09,0.01,0.0,-0.02,-0.05,-0.03,0.01,0.01,-0.01,-0.04,0.01,0.07,0.0,-0.25,0.03,0.03,-0.05,-0.01,-0.05,-0.03,0.02,0.06,-0.04,-0.01,-0.02,0.05,-0.05
Magnus,0.12,-0.03,0.06,0.04,-0.01,0.06,-0.05,0.08,0.06,0.03,-0.01,0.32,-0.01,0.02,-0.07,0.02,0.16,-0.04,-0.02,0.2,0.01,0.02,0.06,-0.01,0.04,0.04,0.13,0.19,-0.03,-0.15,-0.07,-0.02,-0.03,0.01,0.11,-0.06,-0.0,0.02,-0.23,0.04,0.01,-0.06,-0.14,-0.1,0.03,0.11,-0.1,0.1,0.05,-0.06,-0.09,-0.01,0.01,-0.11,0.03,-0.1,0.1,0.16,0.07,-0.04,-0.13,-0.01,0.07,-0.03,-0.07,-0.11,-0.09,-0.03,0.0,-0.12,0.07,-0.02,0.04,-0.05,-0.05,0.04,-0.17,0.11,-0.01,0.07,-0.54,0.02,0.02,0.02,0.01,-0.03,-0.04,0.06,0.02,-0.04,0.05,0.04,-0.07,-0.02,0.01,0.0,-0.11,0.0,0.04,0.02,-0.12,-0.22,-0.03,0.06,0.01,-0.1,0.11,-0.03,0.03,-0.11,-0.08,0.02,-0.06,-0.04,0.01,-0.0,-0.03,-0.05,0.01,-0.03,0.0,-0.0,-0.03
Timbersaw,0.05,0.11,-0.04,-0.1,0.03,0.08,-0.02,-0.02,0.02,0.05,0.06,0.08,-0.07,0.01,0.02,0.06,0.06,-0.07,-0.01,0.01,-0.06,-0.03,-0.01,-0.05,0.06,-0.04,0.03,0.08,-0.02,0.05,-0.01,0.06,-0.01,-0.08,-0.03,0.05,0.04,-0.07,0.03,-0.02,0.01,-0.07,0.12,0.07,0.03,0.06,-0.02,0.04,0.01,-0.03,0.04,-0.08,-0.09,0.15,0.07,-0.06,0.06,0.03,0.01,0.13,-0.06,-0.01,-0.0,-0.15,0.05,0.11,-0.09,-0.03,-0.0,-0.02,0.01,-0.08,-0.01,0.01,0.02,0.09,0.01,0.03,-0.06,0.02,0.2,-0.03,-0.02,-0.02,-0.03,-0.02,-0.04,-0.02,-0.0,0.04,-0.07,0.03,-0.0,-0.04,-0.09,0.11,0.0,0.04,0.06,0.02,-0.03,0.3,0.02,-0.02,0.02,0.07,-0.03,0.09,0.05,0.1,0.12,0.26,-0.04,-0.08,0.03,-0.03,0.08,0.05,-0.03,-0.04,-0.04,-0.05,-0.06
Bristleback,0.09,0.18,0.01,0.01,0.09,-0.1,-0.03,0.02,0.15,-0.02,-0.08,0.03,-0.05,0.06,0.07,0.04,0.14,-0.08,0.0,0.15,0.07,0.08,-0.08,-0.05,0.16,-0.04,-0.16,0.0,0.16,-0.06,-0.05,0.0,-0.3,0.09,-0.01,0.05,0.04,0.0,-0.11,0.05,0.1,-0.08,0.01,-0.04,-0.02,-0.16,-0.03,0.07,-0.01,-0.04,-0.03,-0.04,-0.04,-0.05,0.07,0.06,0.09,-0.07,-0.01,-0.01,0.08,0.04,0.11,-0.22,0.02,0.12,0.11,-0.12,-0.03,0.31,-0.08,0.02,-0.06,-0.16,-0.11,0.0,0.06,0.04,0.07,-0.02,-0.06,-0.16,-0.04,-0.07,-0.02,-0.03,-0.04,0.03,0.01,0.04,-0.09,-0.06,0.06,0.27,-0.01,0.0,-0.04,0.0,-0.01,0.06,0.03,-0.11,0.01,0.03,0.1,-0.12,-0.02,-0.03,0.07,-0.21,-0.01,0.02,-0.04,-0.13,0.07,0.08,0.06,0.0,-0.02,-0.02,0.03,-0.02,0.08
Tusk,-0.05,0.08,0.04,-0.02,-0.01,0.01,-0.04,0.02,0.02,-0.01,0.01,-0.02,0.01,0.03,0.03,-0.02,-0.01,-0.0,0.01,0.02,0.01,-0.01,0.02,0.02,-0.07,0.02,0.03,-0.04,0.04,-0.04,-0.04,-0.01,0.04,0.03,-0.01,0.02,-0.02,0.01,-0.04,-0.05,0.07,-0.01,0.01,-0.03,-0.01,-0.0,0.08,0.02,0.03,-0.0,-0.0,-0.01,0.03,0.02,0.09,0.04,0.03,0.07,0.03,-0.04,0.07,0.02,-0.01,-0.05,-0.03,0.04,0.02,0.03,-0.04,0.02,-0.02,-0.02,0.0,-0.01,0.04,0.01,-0.1,-0.02,-0.0,-0.04,0.07,-0.03,0.04,-0.05,-0.02,0.02,0.01,0.01,0.05,-0.03,0.06,0.01,-0.06,0.03,0.0,-0.04,-0.06,0.01,0.0,0.02,0.05,0.03,0.02,-0.0,0.0,-0.01,-0.04,-0.03,-0.05,0.13,-0.03,0.04,0.01,0.01,-0.03,0.04,0.01,0.03,-0.03,0.05,0.04,0.01,0.01
Skywrath Mage,-0.06,0.05,-0.02,-0.02,0.01,-0.04,0.09,-0.05,0.02,-0.01,-0.07,-0.0,0.02,-0.02,-0.01,0.03,0.01,-0.02,0.0,-0.01,0.04,-0.03,-0.06,0.01,-0.03,0.04,-0.07,-0.0,0.05,-0.05,-0.05,0.03,-0.05,-0.01,0.05,-0.01,-0.05,-0.01,-0.03,-0.06,0.02,-0.0,-0.02,0.03,-0.01,-0.03,-0.02,-0.01,-0.02,-0.01,0.04,0.02,0.05,-0.03,-0.01,-0.01,-0.03,0.1,-0.02,0.08,0.04,-0.03,0.01,-0.01,0.01,-0.06,0.01,0.0,0.02,0.03,0.02,-0.0,-0.05,0.04,0.03,-0.07,0.03,-0.01,0.04,0.01,-0.3,-0.01,-0.01,-0.0,0.02,-0.0,0.01,0.09,0.03,0.02,0.02,0.06,-0.01,0.1,0.02,-0.02,-0.02,-0.06,-0.02,0.0,0.02,0.03,0.01,-0.04,0.01,-0.01,0.05,0.05,0.08,0.06,0.02,-0.12,0.03,-0.03,-0.01,-0.02,0.0,0.03,-0.02,-0.0,0.01,-0.02,0.04
Abaddon,0.0,-0.01,0.06,-0.11,-0.07,0.02,0.12,-0.0,0.02,0.12,0.03,0.06,-0.0,0.0,0.03,-0.02,0.01,-0.09,-0.01,-0.13,0.21,-0.02,-0.05,0.04,0.07,-0.05,0.1,-0.05,-0.01,0.02,0.14,-0.02,0.07,0.02,0.08,-0.08,-0.01,-0.02,0.07,-0.05,0.0,-0.08,-0.04,-0.04,-0.07,0.09,0.01,-0.01,-0.04,0.01,-0.0,0.13,0.05,0.2,0.02,0.15,-0.04,0.0,0.08,-0.03,-0.02,-0.04,0.02,-0.05,-0.02,0.11,-0.01,0.03,0.06,0.06,0.05,0.09,-0.02,0.06,-0.03,-0.0,-0.04,-0.11,0.01,0.06,-0.22,-0.08,-0.04,0.02,0.01,-0.03,0.04,-0.06,0.06,-0.05,-0.09,-0.11,-0.08,-0.14,0.05,0.12,0.03,-0.03,-0.05,-0.02,0.0,0.0,-0.04,0.11,0.01,0.11,-0.06,0.01,0.05,0.2,-0.21,-0.21,0.05,0.02,-0.11,0.01,0.03,-0.07,-0.03,-0.04,-0.04,-0.0,0.04
Elder Titan,-0.5,-0.06,-0.14,-0.25,0.05,-0.18,0.17,0.11,-0.07,-0.04,-0.01,0.15,-0.05,-0.04,0.06,-0.24,0.15,-0.06,0.06,0.12,0.18,-0.04,-0.17,0.11,-0.07,-0.15,0.39,0.01,-0.07,-0.15,-0.16,0.28,-0.18,-0.07,-0.18,-0.28,-0.03,0.12,-0.02,0.16,-0.14,0.02,0.09,-0.09,0.25,-0.03,-0.04,-0.09,0.14,-0.05,0.05,0.14,0.1,0.03,-0.04,0.53,-0.16,0.1,-0.25,-0.31,-0.48,-0.15,-0.02,-0.04,0.31,-0.04,-0.03,-0.07,-0.21,-0.18,-0.29,-0.31,0.03,0.22,0.07,-0.1,0.17,-0.15,0.23,0.07,0.45,0.06,0.12,-0.1,-0.04,-0.14,0.08,0.04,0.03,-0.0,0.03,0.12,-0.14,0.1,0.03,0.22,-0.3,0.11,-0.03,-0.03,0.0,0.0,0.08,-0.31,-0.23,0.26,0.37,-0.17,0.37,0.1,-0.05,-0.54,0.03,-0.12,-0.13,-0.04,0.05,0.2,-0.07,0.05,-0.02,-0.08,-0.19
Legion Commander,0.1,-0.05,-0.02,0.04,0.04,0.03,-0.11,0.05,0.03,-0.03,-0.05,0.04,0.15,-0.02,0.04,0.04,0.03,-0.03,0.0,-0.04,-0.03,-0.01,-0.01,-0.0,-0.05,-0.0,0.03,0.01,-0.03,-0.06,-0.1,-0.0,-0.09,-0.08,-0.09,-0.33,0.06,0.0,-0.15,-0.0,0.03,0.01,0.06,-0.08,-0.03,-0.08,-0.01,0.02,-0.01,-0.07,0.04,-0.02,-0.06,-0.19,-0.01,-0.13,-0.01,-0.06,-0.01,0.05,0.08,0.06,0.03,-0.01,-0.07,-0.03,-0.1,0.0,0.02,0.01,0.09,0.13,-0.05,0.02,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.21,-0.03,0.04,0.01,0.01,0.06,0.01,0.04,0.05,-0.05,0.11,-0.0,-0.01,0.03,-0.01,0.03,-0.02,-0.01,-0.02,-0.01,0.04,-0.08,0.0,-0.13,0.0,0.13,-0.03,0.05,-0.03,-0.02,-0.09,0.02,0.04,0.03,0.03,-0.04,0.04,-0.04,-0.02,-0.02,-0.01,0.07,0.05
Techies,-0.02,0.06,-0.03,-0.06,-0.06,0.01,0.08,0.09,-0.0,-0.01,0.02,0.07,0.06,-0.02,0.0,-0.1,-0.02,-0.02,0.03,-0.01,0.05,0.03,0.02,-0.14,0.07,-0.12,-0.06,-0.07,-0.12,0.07,-0.09,0.17,0.3,0.0,-0.11,-0.2,-0.02,0.0,-0.23,0.08,-0.13,-0.01,0.14,-0.02,-0.09,0.03,0.05,0.04,0.03,-0.03,-0.02,0.04,-0.06,0.01,0.02,-0.09,0.18,0.03,0.04,0.15,0.35,-0.17,0.02,-0.05,-0.11,-0.0,0.21,-0.05,-0.14,0.12,0.22,-0.0,0.08,-0.03,0.08,-0.02,0.09,0.02,0.12,-0.03,-0.54,-0.07,0.05,-0.03,-0.05,0.01,0.11,0.12,-0.09,-0.11,-0.0,0.12,-0.1,-0.25,-0.01,-0.06,0.02,-0.03,0.0,0.04,-0.11,0.31,0.13,0.0,-0.01,-0.08,0.02,0.12,0.02,0.18,0.0,-0.28,0.05,-0.05,-0.02,0.05,-0.04,0.05,0.02,-0.01,-0.07,0.04,0.05
Ember Spirit,0.04,0.09,0.0,0.04,-0.05,0.01,0.05,-0.03,0.03,-0.02,-0.02,0.03,-0.01,0.03,0.03,-0.01,-0.04,0.07,-0.02,0.08,-0.07,0.01,0.03,-0.03,0.04,0.03,-0.04,-0.02,-0.1,0.08,-0.07,-0.01,-0.06,0.01,-0.03,-0.06,-0.03,0.01,-0.01,0.07,-0.01,-0.03,-0.02,-0.06,-0.04,0.0,-0.04,-0.05,-0.05,-0.02,0.02,-0.04,0.01,0.03,0.02,-0.06,-0.03,0.0,0.05,0.02,-0.03,0.09,0.03,0.03,-0.05,-0.0,0.08,-0.03,-0.01,0.0,0.01,0.06,0.03,-0.05,-0.06,0.04,0.03,0.02,-0.07,0.0,-0.09,0.0,0.02,0.02,0.06,0.01,0.02,-0.02,0.0,-0.05,0.03,-0.04,-0.08,-0.06,0.01,-0.01,-0.02,-0.1,0.0,-0.01,-0.01,0.23,0.0,0.01,0.0,-0.02,-0.04,0.04,0.04,-0.02,0.0,-0.07,-0.03,-0.04,0.03,-0.04,-0.03,-0.01,0.02,0.0,0.02,-0.05,-0.01
Earth Spirit,0.02,-0.05,-0.05,0.0,0.09,0.04,-0.03,-0.07,-0.0,-0.02,-0.0,0.11,0.03,0.02,0.01,0.01,-0.05,0.09,0.01,0.05,0.05,0.03,0.06,0.02,-0.08,-0.08,-0.08,-0.04,0.12,0.01,0.16,-0.13,0.14,0.1,-0.01,0.1,0.08,-0.01,0.04,0.05,-0.05,-0.08,0.15,-0.05,-0.01,0.12,-0.1,0.0,0.1,0.01,-0.0,0.03,0.08,0.04,0.02,-0.02,-0.01,-0.17,-0.06,0.06,-0.16,0.04,0.01,-0.1,-0.0,-0.03,0.04,-0.02,-0.02,0.01,-0.01,0.12,0.1,-0.06,0.0,0.04,-0.05,0.03,-0.15,0.07,-0.11,0.03,-0.07,-0.01,0.0,0.07,-0.08,-0.04,0.04,-0.04,-0.03,-0.07,0.01,-0.12,0.04,0.1,-0.07,0.12,0.01,0.01,-0.11,-0.26,-0.13,0.08,0.02,0.0,-0.02,-0.04,0.05,-0.03,0.04,-0.39,0.05,0.04,-0.02,-0.02,0.02,0.07,0.04,-0.05,0.03,-0.01,0.04
Underlord,-0.01,-0.04,0.05,-0.04,0.08,0.02,-0.1,0.01,0.08,0.09,0.08,0.01,-0.02,0.01,0.03,0.04,-0.07,0.12,0.01,-0.18,0.02,-0.08,0.04,-0.05,0.03,0.02,-0.14,0.09,-0.11,0.1,-0.16,-0.11,0.0,0.09,0.02,0.13,0.12,-0.04,0.13,-0.08,0.1,-0.06,-0.02,-0.08,-0.06,-0.04,-0.04,0.09,-0.18,-0.05,0.08,0.07,0.05,-0.08,-0.03,0.21,-0.03,0.05,-0.09,-0.05,-0.07,-0.1,-0.02,-0.01,0.05,0.18,0.01,-0.06,-0.02,0.04,-0.13,-0.08,-0.02,0.03,0.13,-0.02,0.01,-0.09,0.19,0.04,-0.04,0.17,-0.09,0.1,-0.12,-0.0,-0.01,-0.05,-0.07,-0.02,-0.04,-0.09,0.09,0.07,-0.01,-0.11,0.03,0.02,0.04,-0.05,0.06,-0.37,0.03,-0.02,0.04,0.02,0.0,0.0,-0.02,0.09,0.03,0.3,-0.09,0.09,-0.0,0.04,0.06,0.05,0.06,0.02,-0.01,0.01,0.09
Terrorblade,-0.06,-0.13,0.05,0.04,0.03,-0.09,-0.03,0.06,-0.02,0.01,-0.01,-0.08,-0.04,-0.03,0.02,-0.07,0.02,-0.12,0.02,0.05,-0.03,-0.02,0.03,-0.03,-0.04,-0.05,0.02,-0.0,-0.13,-0.0,-0.01,-0.06,-0.01,0.04,0.08,0.13,-0.01,-0.07,0.05,-0.02,0.09,-0.0,-0.09,0.14,0.03,0.05,0.02,0.03,0.09,-0.0,-0.06,-0.09,0.02,-0.06,-0.08,-0.16,0.03,-0.2,0.02,0.14,-0.06,-0.01,0.03,0.04,-0.09,0.08,-0.18,-0.02,-0.01,-0.03,0.11,-0.1,0.12,-0.0,-0.03,0.11,-0.05,-0.01,0.1,-0.06,0.45,-0.04,0.02,-0.04,0.0,-0.0,0.02,-0.02,-0.04,0.06,-0.05,-0.0,0.07,-0.1,-0.07,0.03,-0.09,0.03,0.03,-0.05,-0.01,0.17,-0.05,-0.12,-0.04,0.04,-0.0,0.0,0.04,-0.12,0.1,-0.14,0.01,-0.02,-0.01,-0.07,0.04,0.03,-0.03,-0.03,0.07,0.03,-0.03
Phoenix,-0.01,-0.11,-0.05,0.02,0.04,-0.05,0.1,-0.03,-0.02,-0.05,0.0,0.02,-0.06,0.1,-0.05,-0.07,0.07,0.07,0.04,0.21,-0.07,0.03,0.13,0.03,0.11,-0.06,-0.05,0.0,-0.02,-0.1,-0.09,0.02,0.1,0.04,-0.14,0.03,0.05,-0.04,-0.1,-0.12,0.03,-0.02,0.03,0.07,0.0,-0.07,0.06,-0.04,-0.07,-0.04,0.05,0.02,0.03,-0.08,-0.22,-0.18,0.04,-0.19,0.07,-0.14,-0.14,0.04,0.01,0.01,-0.05,0.02,-0.16,0.01,-0.02,0.01,0.1,0.1,0.06,-0.03,0.17,0.03,-0.07,-0.02,-0.07,0.03,0.11,-0.04,0.02,-0.01,0.08,0.04,0.01,-0.05,-0.06,0.03,-0.09,-0.02,-0.02,-0.05,0.0,-0.03,-0.05,-0.07,0.05,-0.08,-0.05,-0.37,0.03,-0.02,-0.04,-0.05,0.02,-0.04,0.0,-0.09,0.04,-0.22,0.0,0.05,-0.04,0.02,0.06,-0.07,-0.03,0.0,0.05,-0.06,-0.03
Oracle,0.0,-0.1,0.01,-0.05,0.12,0.06,0.02,0.03,0.01,0.23,-0.04,0.09,-0.02,0.01,0.0,0.06,-0.04,-0.05,0.0,0.05,0.03,0.1,0.21,-0.13,0.18,-0.07,0.09,0.05,-0.16,0.02,0.05,-0.21,-0.04,0.06,-0.02,0.06,0.01,-0.02,-0.07,-0.13,-0.06,-0.09,0.07,-0.21,0.01,-0.21,-0.07,-0.14,0.06,0.01,0.07,0.05,-0.07,0.06,0.14,0.03,-0.06,-0.09,-0.14,-0.1,-0.18,-0.06,0.04,0.04,-0.17,0.14,-0.21,0.01,0.05,-0.01,0.07,-0.18,0.12,0.05,0.12,0.18,0.14,0.01,-0.14,0.03,0.42,0.28,-0.09,-0.0,-0.05,-0.03,-0.1,0.01,0.1,-0.06,-0.14,-0.13,-0.24,0.03,0.25,0.11,-0.1,0.21,-0.13,-0.06,-0.2,-0.1,0.02,-0.18,0.02,0.03,-0.09,0.12,0.09,0.0,-0.01,-0.07,0.22,0.12,0.06,-0.03,0.16,0.0,-0.08,-0.08,0.14,-0.06,-0.03
Winter Wyvern,-0.05,0.08,-0.07,0.0,0.03,0.05,-0.01,0.03,0.07,-0.01,-0.02,-0.06,-0.01,0.01,0.07,-0.08,-0.11,0.06,0.03,-0.09,0.02,0.07,0.03,0.05,-0.08,-0.01,-0.11,0.28,0.1,-0.06,-0.01,-0.0,-0.01,0.07,-0.05,-0.04,0.01,-0.03,-0.01,-0.02,-0.05,-0.0,0.08,-0.03,-0.04,-0.0,-0.06,0.03,0.06,-0.02,-0.02,0.05,-0.01,-0.1,-0.1,-0.04,0.04,-0.08,0.01,0.02,-0.06,0.05,-0.06,0.01,0.02,-0.02,-0.07,-0.02,0.06,-0.08,-0.09,-0.01,-0.03,0.04,-0.16,0.08,0.2,0.14,0.01,0.04,0.12,0.11,0.04,0.03,-0.02,-0.0,0.03,-0.17,0.06,-0.02,0.01,-0.0,0.06,-0.04,-0.03,0.08,-0.12,0.01,0.03,-0.02,0.21,0.05,0.09,-0.0,0.0,-0.04,-0.03,-0.1,-0.04,0.01,0.0,0.05,0.1,0.12,-0.0,-0.0,-0.03,-0.0,-0.03,-0.05,0.04,0.04,-0.07
Arc Warden,-0.06,-0.02,-0.16,0.14,-0.01,0.39,0.24,-0.12,-0.01,-0.04,-0.12,0.27,-0.09,-0.03,0.1,0.28,-0.18,0.24,-0.09,0.01,-0.22,0.1,0.01,-0.02,0.14,-0.06,0.4,0.02,-0.09,0.09,0.02,0.03,-0.27,-0.05,-0.29,0.36,-0.21,-0.02,0.09,0.08,-0.04,-0.03,0.06,0.04,0.08,0.09,0.06,-0.05,-0.02,-0.08,-0.23,0.02,-0.06,-0.43,0.17,-0.18,-0.09,0.04,-0.17,0.18,0.31,0.13,-0.13,-0.12,0.03,-0.04,0.11,-0.14,0.11,-0.37,0.29,0.31,0.04,0.14,-0.06,-0.19,0.04,0.11,-0.2,0.23,-0.51,0.1,-0.01,-0.04,0.06,0.05,-0.07,-0.12,-0.05,-0.26,0.03,-0.11,-0.1,-0.13,-0.03,-0.02,-0.26,-0.02,-0.04,0.12,0.21,-0.46,-0.02,0.28,0.07,0.39,-0.3,0.14,0.22,0.07,-0.05,0.0,-0.02,-0.32,0.06,-0.11,0.16,0.08,-0.17,0.06,-0.14,0.02,-0.16
Monkey King,0.05,0.09,0.02,0.03,0.05,0.06,-0.05,-0.02,-0.01,0.0,0.05,0.03,0.03,0.01,-0.04,-0.04,-0.03,0.06,-0.04,-0.07,0.01,0.07,-0.04,-0.02,0.06,0.02,0.07,-0.04,-0.05,0.02,-0.03,-0.01,0.16,0.01,0.1,0.05,0.04,-0.06,-0.02,-0.03,-0.03,-0.03,0.01,-0.01,-0.02,-0.04,-0.02,-0.04,-0.03,0.01,-0.05,0.01,-0.02,0.06,0.07,0.01,-0.01,-0.05,0.02,0.0,-0.05,0.02,-0.04,0.01,-0.06,0.14,0.1,0.04,0.01,-0.1,0.05,0.02,0.06,0.03,-0.04,0.07,-0.07,0.05,-0.12,0.0,0.19,-0.04,0.04,0.01,0.02,0.02,-0.03,0.01,0.01,-0.01,0.01,-0.01,-0.02,-0.09,0.05,0.06,0.04,0.04,-0.01,-0.03,-0.05,-0.03,-0.04,-0.05,0.03,-0.05,0.09,-0.01,0.0,-0.22,-0.1,0.02,0.0,0.01,0.02,0.01,-0.01,0.03,0.0,0.0,0.02,0.03,0.0
Dark Willow,-0.01,-0.02,0.03,0.04,0.01,0.03,-0.05,0.04,-0.04,0.03,-0.01,0.08,-0.12,0.05,0.01,-0.16,-0.04,0.01,0.05,0.12,-0.07,0.09,-0.04,-0.04,-0.14,0.11,0.08,0.01,0.1,-0.05,-0.05,0.14,-0.29,-0.07,-0.08,-0.01,-0.12,0.0,-0.1,0.06,-0.01,-0.0,-0.07,-0.07,-0.04,0.09,-0.05,0.06,0.15,0.06,-0.02,-0.05,0.02,-0.02,-0.1,-0.0,0.02,-0.02,-0.04,0.01,0.04,-0.09,0.05,0.05,-0.13,0.03,-0.2,0.03,-0.01,0.01,-0.15,0.02,-0.1,-0.09,-0.09,0.04,0.1,0.03,-0.01,-0.02,-0.05,-0.03,-0.05,-0.06,-0.01,-0.0,-0.0,-0.02,0.12,0.03,0.03,-0.0,0.07,-0.12,0.01,0.04,0.08,0.13,-0.01,0.03,-0.02,0.12,-0.03,0.05,0.04,-0.04,-0.09,0.02,-0.05,-0.12,-0.12,0.32,-0.01,0.0,0.04,-0.03,0.04,-0.01,-0.0,0.02,-0.01,0.03,-0.04
